Major Beginning of Semester	Cum GPA Beginning of Semester	Major End of Semester	Cum GPA End of Semester
Others	2.481	Others	2.517
Others	2.043	Others	2.043
Others	1.945	Others	2.023
Others	3.204	Others	3.133
Others	3.258	Others	3.381
Others	3.864	Others	3.889
Others	2.977	Others	3.089
Others	3.5	Others	2.941
Others	3.923	Others	3.944
CHEM-BS	2.938	Others	2.95
CS-BS	3.406	Others	3.109
Others	2.917	Others	2.938
Others	2.857	Others	2.975
Others	1.385	Others	1.641
Others	0.0	Others	3.8
Others	2.545	Others	2.667
BIOL-BS	0.0	Others	2.909
Others	3.667	Others	3.875
Others	3.587	Others	3.587
Others	2.333	Others	2.565
BIOL-BS	3.75	Others	3.769
Others	0.0	Others	3.733
Others	0.0	Others	2.545
Others	0.0	Others	3.357
Others	4.0	Others	3.8
Others	0.0	Others	3.4
Others	3.1	Others	3.4
BIOL-BS	4.0	Others	3.409
Others	2.333	Others	1.8
Others	0.0	Others	2.929
Others	2.313	Others	2.468
Others	2.313	Others	2.19
CS-BS	0.0	Others	2.909
Others	0.0	Others	0.364
Others	0.0	Others	2.5
Others	0.0	Others	3.0
Others	3.4	Others	3.469
Others	2.431	Others	2.587
Others	2.087	Others	2.259
Others	3.1	Others	2.8
Others	2.55	Others	2.486
Others	3.067	Others	3.119
Others	3.0	Others	3.13
Others	2.392	Others	2.413
Others	2.519	Others	2.222
Others	3.0	Others	3.471
Others	3.0	Others	1.733
Others	0.0	Others	1.0
BIOL-BS	3.0	Others	3.0
Others	0.0	Others	3.143
Others	0.0	Others	2.182
Others	0.0	Others	0.182
Others	0.0	Others	3.0
Others	0.0	Others	2.714
Others	3.0	Others	1.824
Others	0.0	Others	2.286
Others	2.655	Others	2.822
Others	2.286	Others	2.222
BIOL-BS	2.588	Others	2.244
Others	0.5	Others	1.412
Others	3.0	Others	2.235
Others	2.821	Others	2.932
Others	2.0	Others	1.636
BIOL-BS	0.0	Others	1.556
Others	0.0	Others	3.077
BIOL-BS	0.0	Others	2.875
Others	0.0	Others	3.182
Others	0.0	Others	1.643
Others	1.1	Others	2.188
Others	1.365	Others	1.455
Others	2.025	Others	2.204
Others	2.728	Others	2.626
Others	3.031	Others	2.955
Others	3.971	Others	3.95
Others	2.136	Others	2.06
Others	4.0	Others	4.0
Others	2.529	Others	2.45
Others	3.625	Others	3.45
BIOL-BS	2.319	Others	2.283
IT-BS	2.273	Others	2.273
CHEM-BS	3.184	Others	3.227
Others	2.903	Others	2.977
Others	2.714	Others	2.754
Others	4.0	Others	3.927
Others	2.278	Others	2.273
CS-BS	3.1	Others	2.727
Others	2.704	Others	2.325
Others	2.742	Others	2.743
Others	2.182	Others	2.0
Others	2.174	Others	2.0
Others	2.556	Others	2.615
Others	3.563	Others	3.068
Others	3.0	Others	3.5
Others	3.0	Others	2.826
BIOL-BS	2.333	Others	2.61
CS-BS	3.5	Others	3.238
Others	0.0	Others	0.0
Others	0.0	Others	2.909
Others	2.889	Others	2.444
Others	0.0	Others	3.333
Others	0.0	Others	3.667
Others	0.0	Others	1.714
Others	3.127	Others	3.011
CS-BS	0.0	Others	2.929
Others	3.286	BIOL-BS	3.353
Others	2.0	BIOL-BS	2.5
Others	3.483	BIOL-BS	3.52
MATH-BS	3.244	BIOL-BS	3.299
Others	2.329	BIOL-BS	2.387
Others	2.032	BIOL-BS	2.076
Others	3.119	BIOL-BS	3.139
Others	3.32	BIOL-BS	3.336
Others	0.0	BIOL-BS	3.182
Others	3.3	BIOL-BS	3.209
Others	3.773	BIOL-BS	3.649
Others	3.261	BIOL-BS	3.313
Others	3.667	BIOL-BS	3.684
CHEM-BS	2.862	BIOL-BS	2.737
Others	1.481	BIOL-BS	1.718
Others	2.667	BIOL-BS	3.409
Others	3.414	BIOL-BS	3.366
CHEM-BS	3.857	BIOL-BS	3.529
Others	0.0	BIOL-BS	3.8
Others	4.0	BIOL-BS	3.893
CS-BS	3.6	BIOL-BS	3.654
Others	3.0	BIOL-BS	3.231
Others	2.4	BIOL-BS	2.759
Others	2.515	BIOL-BS	2.436
CS-BS	3.909	BIOL-BS	3.936
CHEM-BS	0.0	BIOL-BS	1.667
Others	3.0	BIOL-BS	3.471
Others	0.0	BIOL-BS	0.929
Others	0.0	BIOL-BS	2.667
Others	0.0	BIOL-BS	0.909
CHEM-BS	0.0	BIOL-BS	2.25
Others	0.0	BIOL-BS	1.889
Others	0.0	BIOL-BS	0.5
Others	2.689	BIOL-BS	2.608
Others	2.0	BIOL-BS	2.222
Others	3.5	BIOL-BS	2.294
Others	4.0	BIOL-BS	3.478
Others	0.0	BIOL-BS	2.182
Others	0.0	BIOL-BS	1.364
Others	0.0	BIOL-BS	3.625
Others	0.0	BIOL-BS	2.75
Others	0.0	BIOL-BS	2.909
Others	4.0	BIOL-BS	3.833
Others	0.0	BIOL-BS	4.0
Others	1.898	BIOL-BS	2.107
Others	2.978	CHEM-BS	2.929
Others	1.978	CHEM-BS	2.043
Others	3.921	CHEM-BS	3.926
Others	1.722	CHEM-BS	1.593
Others	0.0	CHEM-BS	3.25
CS-BS	0.0	CHEM-BS	2.714
Others	3.294	CHEM-BS	3.339
Others	2.296	Others	1.821
Others	2.73	Others	2.675
Others	2.929	Others	2.722
Others	2.6	Others	2.426
Others	2.855	Others	2.922
Others	3.305	Others	3.119
Others	3.1	Others	3.143
Others	4.0	Others	4.0
BIOL-BS	3.081	Others	3.029
Others	2.852	Others	2.548
Others	2.65	Others	2.667
Others	2.5	Others	2.135
BIOL-BS	3.0	Others	3.056
Others	0.0	Others	2.364
Others	0.0	Others	2.182
Others	1.8	Others	1.767
Others	0.0	Others	2.929
Others	0.0	Others	0.444
CS-BS	0.0	Others	2.0
Others	2.342	Others	2.5
Others	2.784	Others	2.683
Others	2.967	Others	2.833
Others	0.0	Others	2.909
Others	0.0	Others	1.833
Others	0.0	Others	2.5
Others	0.0	Others	2.455
BIOL-BS	0.0	Others	1.667
Others	0.0	Others	0.286
Others	0.0	Others	3.5
CHEM-BS	0.0	Others	1.357
Others	0.0	Others	2.5
Others	0.0	Others	3.727
Others	0.0	Others	2.5
CHEM-BS	0.0	Others	3.8
Others	2.397	Others	2.427
CHEM-BS	0.0	Others	0.222
Others	2.811	Others	2.836
BIOL-BS	3.755	Others	3.582
BIOL-BS	2.833	Others	2.289
Others	0.0	Others	3.786
Others	3.132	Others	3.208
Others	2.235	Others	2.781
CS-BS	2.941	Others	2.333
Others	3.0	Others	2.333
Others	2.0	Others	1.429
Others	0.0	Others	3.727
Others	0.0	Others	2.714
Others	4.0	Others	3.333
Others	2.667	Others	3.5
Others	0.0	Others	2.364
Others	3.0	Others	2.118
Others	2.449	Others	2.418
Others	3.0	Others	3.167
Others	0.0	Others	3.143
Others	0.0	Others	3.833
Others	0.0	Others	2.5
Others	1.909	Others	1.655
Others	2.0	Others	2.044
Others	2.292	CS-BS	2.191
PHYS-BS	4.0	CS-BS	3.898
Others	2.916	CS-BS	2.949
MATH-BS	3.593	CS-BS	3.597
Others	3.5	CS-BS	2.161
Others	2.192	CS-BS	2.488
Others	3.0	CS-BS	2.353
Others	0.0	CS-BS	3.143
Others	3.5	CS-BS	3.55
Others	0.0	CS-BS	3.727
Others	3.5	CS-BS	3.4
Others	0.0	CS-BS	3.143
PHYS-BS	0.0	CS-BS	3.765
Others	0.0	CS-BS	2.364
Others	0.0	CS-BS	3.75
Others	0.0	CS-BS	2.455
Others	3.314	CS-BS	3.275
Others	0.0	CS-BS	3.143
Others	3.444	Others	3.651
Others	2.217	Others	1.962
Others	2.83	Others	2.857
CHEM-BS	3.185	Others	3.262
Others	2.021	Others	2.148
Others	3.786	Others	3.8
Others	2.034	Others	2.222
Others	1.333	Others	1.273
BIOL-BS	2.2	Others	2.2
Others	2.667	Others	2.955
Others	0.0	Others	3.182
Others	3.0	Others	3.294
Others	4.0	Others	4.0
Others	2.444	Others	2.2
Others	0.0	Others	1.2
Others	3.875	Others	3.917
Others	0.0	Others	2.909
Others	0.0	Others	0.75
Others	2.471	Others	2.497
Others	3.0	Others	2.463
Others	2.735	Others	2.813
Others	2.323	Others	2.301
BIOL-BS	2.342	Others	1.78
Others	2.846	Others	2.828
Others	1.325	Others	1.51
Others	2.643	Others	2.415
Others	3.333	Others	3.268
Others	0.0	Others	2.929
Others	3.071	Others	3.2
Others	2.25	Others	1.826
Others	2.655	Others	2.463
Others	2.909	Others	2.304
Others	2.25	Others	1.667
Others	2.481	Others	2.333
Others	3.488	Others	3.464
Others	0.0	Others	0.0
Others	2.839	Others	3.163
Others	2.455	Others	2.295
Others	2.174	Others	2.286
Others	4.0	Others	3.804
Others	3.067	Others	2.333
Others	3.0	Others	2.765
Others	1.929	Others	1.953
Others	0.0	Others	3.6
Others	0.0	Others	1.818
Others	0.0	Others	0.545
Others	2.0	Others	2.5
Others	0.0	Others	0.818
Others	0.0	Others	3.133
Others	0.0	Others	2.909
Others	0.0	Others	2.818
Others	0.0	Others	3.571
Others	0.0	Others	3.75
Others	3.0	Others	3.647
Others	0.0	Others	3.143
Others	0.0	Others	3.727
Others	0.0	Others	0.455
Others	2.6	Others	2.571
Others	0.0	Others	1.727
Others	3.0	Others	1.214
Others	2.424	Others	2.353
Others	2.702	Others	2.766
Others	3.527	Others	3.509
Others	1.955	Others	2.171
Others	3.531	Others	3.481
Others	3.509	Others	3.5
Others	2.955	Others	2.693
Others	3.315	Others	3.412
Others	2.548	Others	2.674
Others	2.778	Others	2.567
Others	0.0	Others	3.933
Others	3.333	Others	3.097
Others	2.75	Others	2.917
Others	2.0	Others	2.696
BIOL-BS	2.889	Others	2.595
BIOL-BS	2.259	Others	1.951
Others	4.0	Others	4.0
Others	3.0	Others	2.909
Others	1.0	Others	1.941
Others	0.0	Others	1.182
Others	0.0	Others	0.0
Others	3.5	Others	3.167
Others	2.077	Others	2.088
Others	1.861	Others	1.733
Others	0.0	Others	4.0
Others	3.5	Others	3.606
Others	2.333	Others	2.714
Others	0.0	Others	3.077
Others	3.595	Others	3.694
Others	0.0	Others	1.333
Others	0.0	Others	3.833
Others	2.096	Others	2.12
Others	2.625	Others	2.73
Others	2.372	Others	2.413
Others	3.625	Others	1.706
Others	3.0	Others	2.833
Others	2.438	Others	2.386
Others	3.161	Others	3.147
Others	2.658	Others	2.679
Others	0.0	Others	2.417
Others	3.065	Others	3.056
BIOL-BS	2.574	Others	2.661
Others	0.0	Others	4.0
Others	2.136	Others	2.113
Others	0.0	Others	3.182
CS-BS	2.257	Others	2.073
Others	3.464	Others	3.341
Others	3.2	Others	3.133
Others	2.588	Others	3.063
Others	0.0	Others	2.909
Others	2.18	Others	1.952
Others	0.0	Others	3.143
Others	0.0	Others	3.727
Others	1.696	Others	1.849
IT-BS	2.175	Others	2.058
Others	2.092	Others	2.469
Others	3.049	Others	2.585
Others	2.043	Others	1.686
Others	3.634	Others	3.528
Others	3.464	Others	3.1
IT-BS	0.0	Others	3.5
Others	0.0	Others	1.875
BIOL-BS	3.0	Others	2.0
CS-BS	0.0	Others	0.636
CS-BS	0.0	Others	3.182
Others	0.0	Others	2.286
Others	1.9	Others	2.029
Others	1.432	Others	1.415
Others	2.236	Others	2.231
Others	2.627	Others	2.631
Others	2.539	Others	2.5
Others	3.353	Others	3.551
Others	2.393	Others	2.25
Others	2.97	Others	2.92
BIOL-BS	3.389	Others	3.463
Others	0.0	Others	4.0
Others	2.77	Others	2.84
Others	2.68	Others	2.79
Others	2.946	Others	3.0
Others	2.483	Others	2.488
BIOL-BS	3.515	Others	3.37
Others	3.538	Others	3.415
Others	2.185	Others	2.4
Others	2.258	Others	2.258
Others	2.06	Others	2.078
BIOL-BS	3.0	Others	3.214
